SubjectID,Group,Happiness_Pre,Happiness_Post,Stress_Pre,Stress_Post,Compliance_14Day
S001,Gratitude,3.09,4.91,7.42,6.5,11
S002,Neutral,3.72,4.85,5.43,6.54,10
S003,Gratitude,3.39,4.74,5.17,3.68,13
S004,Gratitude,6.25,8.04,6.47,5.32,14
S005,Gratitude,5.44,7.63,5.45,4.8,14
S006,Neutral,5.77,6.29,6.63,5.62,12
S007,Gratitude,5.22,5.32,6.2,4.34,14
S008,Gratitude,3.37,3.8,4.48,4.31,11
S009,Gratitude,3.98,4.8,7.55,6.44,12
S010,Neutral,4.99,5.21,7.8,7.43,14
S011,Gratitude,3.28,4.79,5.39,3.43,12
S012,Gratitude,5.21,5.98,5.61,5.83,13
S013,Gratitude,4.26,5.57,6.29,5.73,14
S014,Gratitude,4.13,4.87,6.33,5.03,14
S015,Neutral,5.21,6.46,6.66,6.44,12
S016,Gratitude,4.94,5.3,8.01,7.06,8
S017,Neutral,4.14,4.53,5.82,5.26,11
S018,Neutral,5.66,5.9,5.2,6.44,11
S019,Neutral,3.42,4.79,4.62,4.42,14
S020,Gratitude,5.12,6.95,5.27,6.03,13
S021,Neutral,5.09,6.21,5.97,6.37,13
S022,Gratitude,4.19,6.97,7.79,7.2,13
S023,Neutral,4.83,5.49,5.48,3.64,13
S024,Neutral,3.25,4.28,6.22,5.31,12
S025,Neutral,5.42,5.97,5.98,6.04,12
S026,Neutral,4.32,5.45,7.19,6.33,12
S027,Neutral,3.98,4.17,8.53,7.01,10
S028,Neutral,5.55,6.89,5.47,4.33,11
S029,Neutral,3.8,5.67,5.51,5.06,13
S030,Neutral,3.09,3.37,7.04,7.16,11
S031,Gratitude,2.94,4.83,6.68,4.2,13
S032,Gratitude,5.11,5.88,7.85,7.7,10
S033,Neutral,3.22,4.67,6.58,5.47,10
S034,Neutral,6.25,6.44,5.64,4.73,12
S035,Neutral,2.42,2.67,6.59,5.35,9
S036,Gratitude,6.2,8.48,7.11,5.91,11
S037,Neutral,4.71,4.4,6.82,5.37,12
S038,Gratitude,4.4,5.27,6.51,5.23,14
S039,Gratitude,3.96,5.53,7.07,7.07,12
S040,Gratitude,4.9,6.68,7.17,5.01,12
S041,Gratitude,4.46,6.04,7.38,6.45,14
S042,Gratitude,5.6,5.86,6.65,4.75,13
S043,Neutral,4.61,6.04,5.83,5.95,13
S044,Neutral,4.65,4.55,6.15,6.13,13
S045,Neutral,4.14,5.23,7.21,7.06,14
S046,Neutral,4.44,4.81,5.18,4.44,12
S047,Neutral,4.81,5.28,6.37,5.55,10
S048,Gratitude,2.79,3.19,5.61,3.54,14
S049,Neutral,3.15,2.98,6.03,5.65,12
S050,Neutral,5.24,5.97,7.28,5.16,12
S051,Gratitude,4.67,6.21,6.19,5.26,14
S052,Neutral,4.32,5.11,6.05,5.3,11
S053,Gratitude,4.52,6.22,4.64,4.18,14
S054,Neutral,4.85,6.82,6.75,6.25,13
S055,Gratitude,3.96,5.12,6.65,5.68,11
S056,Neutral,3.72,3.9,8.16,8.58,10
S057,Neutral,4.7,4.82,5.69,5.5,12
S058,Gratitude,3.52,4.85,6.22,5.76,13
S059,Gratitude,4.91,6.27,6.25,4.58,12
S060,Gratitude,2.8,3.23,7.58,7.1,13
